ItemID, Domain Name, Traffic, Bids, Price, Estimated Value, Domain Age, Auction End Time, Sale Type
515001159,ypc.com,0,39,?1 107 196,More than ?922 509,29,2023/09/28 11:38 AM (PDT),Auction
515079947,sanctum.com,128,85,?710 332,?635 461,29,2023/09/29 09:05 AM (PDT),Auction
512441873,pafibalikpapan.org,15,28,?415 129,,,2023/09/26 12:23 PM (PDT),Auction
515799757,limousines.com,24,96,?374 539,?864 797,28,2023/10/04 10:55 AM (PDT),Auction
512609686,bhopalmunicipal.com,571,45,?335 793,?28 856,,2023/09/27 02:17 PM (PDT),Auction
515557190,0747.com,7,31,?298 893,?436 827,21,2023/10/02 10:32 AM (PDT),Auction
515385027,trip.org,89,68,?286 974,?664 170,27,2023/10/02 10:35 AM (PDT),Auction
514082478,freespire.org,43,25,?284 133,?21 033,18,2023/09/27 12:24 PM (PDT),Auction
515419971,kkkk.net,0,172,?261 993,?145 240,26,2023/10/01 10:06 AM (PDT),Auction
515554340,eshopping.com,0,43,?258 708,More than ?922 509,20,2023/10/02 12:14 PM (PDT),Auction
515325196,babyboxco.com,682,38,?237 638,?71 439,10,2023/09/30 11:45 AM (PDT),Auction
512837548,rpsdegreecollege.org,67,93,?228 782,Less than ?3 690,,2023/09/28 10:30 AM (PDT),Auction
513415296,bworld.com,41,45,?195 129,?405 203,9,2023/09/25 01:35 PM (PDT),Auction
513410547,wecert.com,2,28,?188 376,?184 170,13,2023/09/25 09:41 AM (PDT),Auction
514285364,epikone.com,104,35,?184 502,?94 059,19,2023/09/26 12:00 PM (PDT),Auction
509878960,longtablebangkok.com,0,21,?168 081,?15 904,,2023/09/25 02:15 PM (PDT),Auction
515765691,42999.com,7,74,?149 446,?250 554,18,2023/10/04 09:45 AM (PDT),Auction
515557129,gnarbox.com,289,26,?138 376,?45 055,9,2023/10/02 11:53 AM (PDT),Auction
512575859,sportsmarketing.com,0,52,?132 841,?486 568,,2023/09/30 10:27 AM (PDT),Auction
513428421,adwcleaner.com,119,11,?129 336,?91 144,11,2023/09/25 09:48 AM (PDT),Auction
514185570,socialmediabuttons.com,17,28,?127 306,?25 498,14,2023/09/26 01:00 PM (PDT),Auction
514350269,onice.com,50,35,?119 926,?590 111,21,2023/09/27 01:53 PM (PDT),Auction
514971493,motherdirt.com,0,26,?118 081,?217 417,9,2023/09/28 01:38 PM (PDT),Auction
515137338,38v.com,2,39,?117 823,?139 594,12,2023/09/29 10:56 AM (PDT),Auction
514283955,xqbet.com,2,52,?114 391,?62 620,9,2023/09/26 09:40 AM (PDT),Auction
515563285,myfabulesslife.com,0,25,?112 583,?28 303,11,2023/10/02 01:50 PM (PDT),Auction
514068271,dms.org,115,44,?96 568,?488 339,27,2023/09/27 12:47 PM (PDT),Auction
512325685,czdfls.com,113,39,?94 096,,,2023/09/25 01:49 PM (PDT),Auction
513351424,91sang.com,0,52,?94 096,?38 192,4,2023/09/25 02:11 PM (PDT),Auction
513390592,mmbbss.com,15,25,?94 096,?27 897,8,2023/09/25 02:22 PM (PDT),Auction
515375588,ssatripura.com,0,29,?94 096,,,2023/09/28 09:06 AM (PDT),Auction
514925464,achenet.org,0,86,?79 151,?20 332,27,2023/09/29 12:59 PM (PDT),Auction
513438634,voilacuisine.com,191,73,?76 568,?46 015,15,2023/09/25 10:41 AM (PDT),Auction
515140696,pokernation.com,48,34,?74 723,?281 144,23,2023/09/29 09:08 AM (PDT),Auction
515219399,pafijakartatimur.org,0,27,?74 723,,,2023/09/26 02:07 PM (PDT),Auction
512816220,365cp.com,0,80,?74 207,?264 465,,2023/09/27 10:23 AM (PDT),Auction
513406832,qxeq.com,0,14,?73 985,?76 458,16,2023/09/25 09:57 AM (PDT),Auction
513435247,personalsite.com,37,43,?72 878,?366 716,26,2023/09/25 10:29 AM (PDT),Auction
512920464,27h.com,0,139,?70 000,?291 697,,2023/09/28 09:05 AM (PDT),Auction
514279568,streetburgerkauai.com,128,81,?67 343,?31 070,9,2023/09/26 02:26 PM (PDT),Auction
514052558,gamecenter.net,13,23,?67 048,?116 937,21,2023/09/26 01:12 PM (PDT),Auction
511232230,steamrooms.com,0,17,?61 993,?336 937,,2023/09/27 09:28 AM (PDT),Auction
515419894,highschoolfootball.com,37,54,?61 808,?260 221,25,2023/10/01 10:32 AM (PDT),Auction
513043908,thewildlifeexperience.org,180,37,?59 963,?13 727,23,2023/09/25 12:39 PM (PDT),Auction
515684665,vhf.org,76,32,?59 963,?253 801,28,2023/10/04 12:49 PM (PDT),Auction
514271693,novl.com,26,108,?57 196,?374 244,9,2023/09/26 10:06 AM (PDT),Auction
514272891,djty.com,7,49,?56 310,?291 402,13,2023/09/26 12:34 PM (PDT),Auction
509879736,bristolisopen.com,0,76,?56 273,?64 391,,2023/09/25 09:40 AM (PDT),Auction
513410258,aieditor.com,15,50,?56 273,?24 280,16,2023/09/25 10:56 AM (PDT),Auction
514082407,typemag.org,54,16,?56 273,?38 376,7,2023/09/27 11:32 AM (PDT),Auction
515355976,u35.com,0,31,?56 273,?239 373,,2023/10/04 12:33 PM (PDT),Auction
514361269,bb44.com,9,48,?55 351,?210 812,21,2023/09/27 09:44 AM (PDT),Auction
515246983,sciencewise.info,591,30,?54 428,Less than ?3 690,14,2023/10/01 10:17 AM (PDT),Auction
515557160,coffeemuseum.com,0,6,?54 428,?182 989,20,2023/10/02 10:34 AM (PDT),Auction
515345815,investortimes.com,0,68,?52 583,,,2023/09/27 02:03 PM (PDT),Auction
515890441,69p.com,22,24,?51 661,?367 048,21,2023/10/05 09:40 AM (PDT),Auction
515249375,078.tv,7,46,?49 446,?60 443,11,2023/10/01 09:42 AM (PDT),Auction
513448738,girdersandgears.com,63,19,?47 970,?48 266,20,2023/09/25 10:28 AM (PDT),Auction
514271154,prussia.com,37,50,?47 970,?610 775,9,2023/09/26 11:33 AM (PDT),Auction
514979590,otzi.com,15,24,?47 048,?393 911,3,2023/09/28 12:12 PM (PDT),Auction
515785110,shoplab.com,13,144,?45 203,?356 347,22,2023/10/04 09:34 AM (PDT),Auction
513372236,heyhello.com,7,56,?44 280,?214 945,19,2023/09/25 11:23 AM (PDT),Auction
515785768,weasy.com,0,63,?44 280,?357 675,20,2023/10/04 01:25 PM (PDT),Auction
513296860,8699.cc,15,64,?43 395,?8 081,10,2023/09/26 09:03 AM (PDT),Auction
510145600,tortugas.com,0,27,?43 358,?452 509,,2023/09/26 01:27 PM (PDT),Auction
515544022,takipci.com,789,23,?43 358,?373 801,20,2023/10/02 09:40 AM (PDT),Auction
511598053,0hg.com,0,54,?41 587,?197 934,,2023/09/27 01:29 PM (PDT),Auction
514982814,freewebtemplates.com,0,33,?39 668,,,2023/09/25 03:00 PM (PDT),Auction
515156683,81473.com,0,13,?38 745,,,2023/09/26 09:26 AM (PDT),Auction
515363099,socialtwist.com,0,40,?38 745,,,2023/09/27 11:00 AM (PDT),Auction
513270359,aerosky.com,0,23,?37 823,?234 244,,2023/09/29 11:08 AM (PDT),Auction
514283196,charliesfishhouse.com,1004,21,?37 823,?19 520,10,2023/09/26 09:43 AM (PDT),Auction
515384033,namaste.net,0,22,?37 823,?312 694,27,2023/10/01 09:36 AM (PDT),Auction
515476588,southpawer.com,0,63,?37 823,,,2023/09/28 02:05 PM (PDT),Auction
512457456,brooklyntrackclub.com,0,12,?37 232,?41 587,,2023/09/25 09:17 AM (PDT),Auction
515551823,cc222.com,2,25,?37 232,?128 930,19,2023/10/02 11:28 AM (PDT),Auction
513043648,cityofwinterset.org,524,42,?35 424,?3 801,8,2023/09/25 01:59 PM (PDT),Auction
515134466,belial.com,11,21,?34 354,?396 642,21,2023/09/29 11:18 AM (PDT),Auction
514931896,utopia.xyz,20,20,?33 875,?268 376,8,2023/09/28 12:22 PM (PDT),Auction
513048815,417.tv,59,45,?33 764,?88 081,7,2023/09/25 12:30 PM (PDT),Auction
515291858,digilead.com,0,20,?33 616,?287 269,20,2023/09/30 11:26 AM (PDT),Auction
513345407,clearleaf.com,0,28,?32 841,?238 745,,2023/09/28 09:42 AM (PDT),Auction
509991481,cambriamilwaukee.com,0,20,?32 731,?27 638,,2023/09/25 10:28 AM (PDT),Auction
511232239,officialtickets.com,0,38,?32 472,?206 642,,2023/09/27 10:02 AM (PDT),Auction
515519852,solidrop.net,0,62,?32 103,,,2023/09/28 01:03 PM (PDT),Auction
514351331,lovebio.com,0,35,?31 993,?242 177,10,2023/09/27 12:44 PM (PDT),Auction
515786714,brighthomes.com,87,22,?31 402,?355 166,22,2023/10/04 01:46 PM (PDT),Auction
514273315,42233.com,2,29,?31 033,?75 277,13,2023/09/26 12:56 PM (PDT),Auction
513435229,testfield.com,2,36,?29 889,?216 015,18,2023/09/25 10:38 AM (PDT),Auction
513391349,fabal.com,17,41,?29 779,?152 288,21,2023/09/25 01:57 PM (PDT),Auction
513604334,portlandubrew.com,148,21,?29 520,?43 395,5,2023/09/25 10:03 AM (PDT),Auction
515339507,industra.com,17,25,?29 151,?296 642,28,2023/09/30 12:42 PM (PDT),Auction
513444725,firstjet.com,0,33,?28 044,?166 679,,2023/09/30 09:49 AM (PDT),Auction
515554656,d67.com,9,24,?27 306,?345 055,19,2023/10/02 10:42 AM (PDT),Auction
515267819,minebit.com,11,24,?26 974,?291 587,16,2023/09/30 09:43 AM (PDT),Auction
514350181,cashcompany.com,0,45,?26 605,?247 454,20,2023/09/27 02:12 PM (PDT),Auction
514927110,5676.cc,2,26,?26 568,?7 528,10,2023/09/29 10:33 AM (PDT),Auction
515434212,bestbmicalculator.com,2196,107,?26 384,?44 170,9,2023/10/01 01:42 PM (PDT),Auction
512829155,hydrogeology.com,0,18,?26 236,?307 491,,2023/09/26 09:08 AM (PDT),Auction
512559381,ephysicianhealth.com,71,46,?26 199,?49 557,,2023/09/27 02:23 PM (PDT),Auction
513042489,clanhouse.org,174,11,?26 199,?23 542,23,2023/09/25 01:55 PM (PDT),Auction
514350097,biovida.com,46,19,?25 683,?276 162,19,2023/09/27 09:33 AM (PDT),Auction
513424613,bhangcbd.com,61,10,?25 387,?61 144,10,2023/09/25 12:55 PM (PDT),Auction
513417679,hg8033.com,0,21,?24 945,?26 827,10,2023/09/25 02:02 PM (PDT),Auction
515233165,yuksrus.com,0,62,?24 723,,,2023/09/26 02:12 PM (PDT),Auction
514273681,moddy.com,37,41,?24 539,?280 923,21,2023/09/26 10:19 AM (PDT),Auction
513435256,ishs.com,17,31,?24 428,?372 399,28,2023/09/25 01:22 PM (PDT),Auction
515555712,kbao.com,7,33,?24 170,?289 446,17,2023/10/02 09:58 AM (PDT),Auction
513410214,realbiz360.com,59,18,?23 985,?21 365,20,2023/09/25 12:16 PM (PDT),Auction
515031468,immunitysec.com,0,39,?23 985,,,2023/09/25 02:09 PM (PDT),Auction
514288143,yoursale.com,4,39,?23 653,?322 399,26,2023/09/26 02:26 PM (PDT),Auction
513417972,openomy.com,24,39,?23 247,?69 742,8,2023/09/25 10:06 AM (PDT),Auction
515137064,greenindex.com,4,35,?22 878,?384 170,18,2023/09/29 12:36 PM (PDT),Auction
515785024,unitedsolar.com,35,20,?22 878,?399 705,22,2023/10/04 02:27 PM (PDT),Auction
514998022,thebutterflyestates.com,0,50,?22 509,?42 030,19,2023/09/28 01:37 PM (PDT),Auction
513384767,aifile.com,7,41,?22 066,?66 827,16,2023/09/25 10:23 AM (PDT),Auction
514144538,monjardin.com,0,18,?21 956,?329 446,,2023/09/29 02:24 PM (PDT),Auction
513376825,resistance.io,2,17,?21 439,?309 151,7,2023/09/25 10:59 AM (PDT),Auction
513417858,officesnacks.com,2,26,?20 886,?159 926,18,2023/09/25 11:18 AM (PDT),Auction
515136829,forgreen.com,9,18,?20 701,?307 491,16,2023/09/29 10:08 AM (PDT),Auction
513278458,xtremecaraudio.net,100,17,?20 480,?4 317,5,2023/09/25 12:03 PM (PDT),Auction
515244166,uis.org,28,13,?20 480,?253 690,26,2023/10/01 10:40 AM (PDT),Auction
513434971,hztfdz.com,2,8,?20 295,,6,2023/09/25 02:12 PM (PDT),Auction
514011784,wanso.com,2,26,?20 295,?162 251,20,2023/09/26 10:20 AM (PDT),Auction
514982714,careerstory.com,2,21,?19 963,?362 915,8,2023/09/28 01:51 PM (PDT),Auction
514288142,alicecooperstown.com,187,60,?19 668,?39 963,26,2023/09/26 12:35 PM (PDT),Auction
510217485,mrbon.com,0,14,?19 557,?197 601,,2023/09/25 01:57 PM (PDT),Auction
512335795,b7bet.com,0,87,?19 557,?54 576,,2023/09/28 11:44 AM (PDT),Auction
513342397,mindvectorweb.com,193,21,?19 557,?13 358,8,2023/09/25 12:33 PM (PDT),Auction
513431280,becomingyou.com,11,19,?19 557,?298 598,21,2023/09/25 11:49 AM (PDT),Auction
513395123,leasefurniture.com,4,22,?19 373,?72 362,24,2023/09/25 12:21 PM (PDT),Auction
513359860,dripclub.com,15,23,?19 225,?137 491,18,2023/09/25 11:44 AM (PDT),Auction
512496246,doglana.com,0,18,?18 819,Less than ?3 690,,2023/09/25 09:14 AM (PDT),Auction
512592632,erikrivera.com,0,14,?18 819,?27 786,,2023/09/25 10:26 AM (PDT),Auction
513416009,fnzcm.com,4,24,?18 819,?43 911,3,2023/09/25 09:03 AM (PDT),Auction
514271090,petjets.com,0,19,?18 819,?117 565,12,2023/09/26 10:03 AM (PDT),Auction
514271797,34546.com,2,65,?18 819,?57 306,12,2023/09/26 09:17 AM (PDT),Auction
514315557,thecaferioltd.com,693,86,?18 819,?41 624,3,2023/09/27 11:23 AM (PDT),Auction
515001166,davecentral.com,17,16,?18 819,?49 299,27,2023/09/28 11:41 AM (PDT),Auction
515161967,dynwales.org,0,11,?18 819,,,2023/09/26 10:00 AM (PDT),Auction
512550777,bearfacepomz.com,0,23,?18 450,?19 815,,2023/09/25 09:23 AM (PDT),Auction
513416000,nepal24hours.com,56,26,?18 450,?11 624,13,2023/09/25 10:57 AM (PDT),Auction
515024395,freedomdaily.com,0,62,?18 450,,,2023/09/25 01:00 PM (PDT),Auction
513396357,1galgame.com,0,12,?17 897,?25 535,3,2023/09/25 09:24 AM (PDT),Auction
512440357,oeom.com,0,17,?17 159,?143 137,,2023/09/27 09:52 AM (PDT),Auction
512820965,accfarm.com,0,42,?17 159,?137 749,,2023/09/27 09:50 AM (PDT),Auction
515021709,drinkspagirlcocktails.com,0,20,?16 974,,,2023/09/25 12:00 PM (PDT),Auction
515136435,greeninfrastructure.com,2,10,?16 827,?260 517,7,2023/09/29 10:27 AM (PDT),Auction
512636503,cloudspring.com,0,31,?16 790,?325 978,,2023/10/01 01:14 PM (PDT),Auction
512636527,frpk.com,0,7,?16 790,?120 148,,2023/10/01 11:50 AM (PDT),Auction
513418515,338800.com,2,57,?16 790,?101 033,13,2023/09/25 09:11 AM (PDT),Auction
515244167,smell.org,2,20,?16 605,?309 779,26,2023/10/01 02:14 PM (PDT),Auction
513278391,southparkpediatrics.net,102,5,?16 568,?4 428,14,2023/09/25 11:36 AM (PDT),Auction
513426010,jungleminer.com,0,20,?16 052,?51 476,6,2023/09/25 09:00 AM (PDT),Auction
515296921,petlike.com,4,13,?15 351,?200 701,10,2023/09/30 09:18 AM (PDT),Auction
515471427,vinb.com,9,13,?15 351,?231 292,20,2023/10/01 02:22 PM (PDT),Auction
513420788,cabtreview.com,7,16,?15 314,?36 236,3,2023/09/25 09:02 AM (PDT),Auction
514375091,hdbr.com,0,17,?15 314,?406 236,,2023/10/02 12:17 PM (PDT),Auction
512478925,altzine.net,0,78,?14 945,?4 613,,2023/09/25 11:40 AM (PDT),Auction
513410739,parklives.com,0,39,?14 945,?58 856,10,2023/09/25 01:20 PM (PDT),Auction
515161975,gomonews.com,0,52,?14 945,,,2023/09/26 10:00 AM (PDT),Auction
512590667,texashamburgercompany.com,0,8,?14 576,?31 882,,2023/09/25 02:26 PM (PDT),Auction
513418768,frontierpublichouse.com,33,19,?14 096,?42 399,9,2023/09/25 09:17 AM (PDT),Auction
515712393,deskhub.com,56,71,?14 022,?333 985,13,2023/10/03 11:53 AM (PDT),Auction
515526828,tortillerialasabrocita.com,1045,73,?13 100,?12 435,10,2023/10/02 01:01 PM (PDT),Auction
515257803,greenbug.com,0,6,?12 989,?325 314,,2023/10/03 09:25 AM (PDT),Auction
514185686,labyrinthina.com,109,36,?12 915,?47 159,24,2023/09/26 10:29 AM (PDT),Auction
514288150,energyinmotion.com,11,23,?12 841,?241 255,25,2023/09/26 12:01 PM (PDT),Auction
515395332,amigo.io,54,25,?12 657,?410 000,9,2023/10/01 12:00 PM (PDT),Auction
515797064,ecocore.com,0,68,?12 657,?322 804,21,2023/10/04 10:50 AM (PDT),Auction
515781933,nationalpay.com,0,10,?12 472,?371 255,20,2023/10/04 01:46 PM (PDT),Auction
514274754,theportersgate.com,0,8,?12 362,?45 535,4,2023/09/26 01:29 PM (PDT),Auction
515153168,poweractive.com,2,16,?11 993,?256 937,26,2023/09/29 09:25 AM (PDT),Auction
515542667,americasfinest.com,11,16,?11 993,?322 804,24,2023/10/02 10:47 AM (PDT),Auction
515799764,betterlighting.com,11,22,?11 697,?182 583,25,2023/10/04 11:42 AM (PDT),Auction
512421150,eif.net,0,9,?11 661,?294 133,,2023/09/29 12:21 PM (PDT),Auction
514371762,appcrew.com,7,11,?11 624,?311 882,16,2023/09/27 01:37 PM (PDT),Auction
512553281,antiagency.com,18,18,?11 292,?128 708,,2023/09/25 09:17 AM (PDT),Auction
512592652,twocousinspizzamountjoy.com,0,30,?11 255,Less than ?3 690,,2023/09/25 02:14 PM (PDT),Auction
512606838,hg977.com,0,54,?11 255,?92 546,,2023/10/01 11:33 AM (PDT),Auction
513393146,smoothcellrx.com,0,18,?11 255,?34 686,4,2023/09/25 09:12 AM (PDT),Auction
513410261,aiextreme.com,0,17,?11 255,?52 915,16,2023/09/25 02:10 PM (PDT),Auction
515024832,wildwolfbeer.com,0,17,?11 255,,,2023/09/25 02:08 PM (PDT),Auction
515137724,adwater.com,17,15,?11 255,?217 085,24,2023/09/29 11:22 AM (PDT),Auction
515330239,00858.com,2,46,?11 255,?172 399,15,2023/09/30 12:08 PM (PDT),Auction
515030511,efox-shop.com,0,10,?11 070,,,2023/09/25 09:00 AM (PDT),Auction
512635751,mintmind.com,6,23,?10 886,?223 358,,2023/09/28 11:44 AM (PDT),Auction
513045336,chinesestamps.info,1180,12,?10 886,,14,2023/09/25 01:01 PM (PDT),Auction
513423988,adventurestats.com,126,19,?10 701,?96 790,22,2023/09/25 01:06 PM (PDT),Auction
512468895,stablecoffeekitchen.com,0,8,?10 517,?34 059,,2023/09/25 10:33 AM (PDT),Auction
515708120,97899.com,4,17,?10 185,?238 450,12,2023/10/03 10:09 AM (PDT),Auction
514318783,hattu.com,0,53,?9 815,?317 196,,2023/10/01 01:23 PM (PDT),Auction
513438593,flexstyle.com,87,18,?9 779,?93 616,22,2023/09/25 02:27 PM (PDT),Auction
514301637,intellexa.com,376,14,?9 779,?75 387,7,2023/09/26 12:00 PM (PDT),Auction
514996147,ademia.com,9,5,?9 779,?205 867,23,2023/09/28 10:25 AM (PDT),Auction
513390579,indiabv.com,0,4,?9 410,?38 893,2,2023/09/25 01:55 PM (PDT),Auction
513410323,umairdev.com,4,4,?9 410,?11 292,2,2023/09/25 02:04 PM (PDT),Auction
513421980,creditbeast.com,17,25,?9 410,?114 280,8,2023/09/25 11:56 AM (PDT),Auction
513426698,29770.com,4,20,?9 410,?128 893,13,2023/09/25 02:00 PM (PDT),Auction
513429380,daytonwheels.com,7,4,?9 410,?66 458,23,2023/09/25 01:57 PM (PDT),Auction
515469022,cbdkings.com,2,10,?9 410,?167 196,9,2023/10/01 09:33 AM (PDT),Auction
513430106,bikong.com,7,16,?9 151,?130 627,20,2023/09/25 10:57 AM (PDT),Auction
513383321,555789.com,11,30,?8 930,?144 797,14,2023/09/25 09:31 AM (PDT),Auction
510137910,kvknandurbar.net,0,4,?8 856,Less than ?3 690,,2023/09/26 09:29 AM (PDT),Auction
515557156,livfit.com,33,47,?8 856,?255 314,17,2023/10/02 09:40 AM (PDT),Auction
515001152,marcey.com,7,14,?8 745,?352 546,27,2023/09/28 12:46 PM (PDT),Auction
514922215,aircord.com,7,12,?8 672,?196 937,19,2023/09/28 09:50 AM (PDT),Auction
515449189,ultrastudios.com,0,11,?8 672,?237 343,21,2023/10/01 11:02 AM (PDT),Auction
515473608,thermomax.com,74,41,?8 672,?261 070,28,2023/10/01 10:01 AM (PDT),Auction
510010903,iwmi.com,0,13,?8 303,?237 970,,2023/09/25 12:25 PM (PDT),Auction
514371772,wdfa.com,11,16,?8 303,?194 539,25,2023/09/27 10:28 AM (PDT),Auction
515461318,edigital.com,0,17,?8 303,,,2023/09/28 07:00 PM (PDT),Auction
515262151,crabpot.com,30,29,?8 155,?296 273,26,2023/09/30 11:09 AM (PDT),Auction
514986164,lvzd.com,0,7,?8 118,?76 605,16,2023/09/28 12:38 PM (PDT),Auction
515457940,kvzt.com,0,7,?8 118,?93 985,9,2023/10/01 11:15 AM (PDT),Auction
515709047,xvne.com,4,11,?8 118,?114 871,8,2023/10/03 10:43 AM (PDT),Auction
515544452,zgek.com,0,5,?8 044,?85 277,16,2023/10/02 10:01 AM (PDT),Auction
514980737,realestateplanner.com,11,18,?7 970,?131 513,20,2023/09/28 02:00 PM (PDT),Auction
514983720,18835.com,0,21,?7 970,?136 753,17,2023/09/28 09:27 AM (PDT),Auction
515136587,nycos.com,2,7,?7 970,?205 867,10,2023/09/29 02:22 PM (PDT),Auction
515819788,kugr.com,2,7,?7 970,?109 852,20,2023/10/04 01:04 PM (PDT),Auction
513423341,prepperpodcast.com,41,22,?7 934,?53 321,14,2023/09/25 09:28 AM (PDT),Auction
514338740,lvvn.com,4,11,?7 934,?108 266,19,2023/09/27 02:14 PM (PDT),Auction
513414891,joypartners.com,0,18,?7 601,?216 679,24,2023/09/25 12:09 PM (PDT),Auction
514195191,mucru.org,39,36,?7 601,?16 273,12,2023/09/26 09:33 AM (PDT),Auction
512609528,dyns.net,0,10,?7 565,?64 760,,2023/09/26 10:21 AM (PDT),Auction
513042496,khelmahakumbh.org,185,26,?7 565,?7 011,13,2023/09/25 10:59 AM (PDT),Auction
513044055,queencalifia.org,72,27,?7 565,?15 092,20,2023/09/25 12:28 PM (PDT),Auction
513434967,themugfresno.com,456,11,?7 565,?42 399,2,2023/09/25 10:34 AM (PDT),Auction
515418418,stephensmith.com,7,9,?7 565,?265 018,14,2023/10/01 09:30 AM (PDT),Auction
515568841,80038.com,4,33,?7 565,?81 513,23,2023/10/02 12:01 PM (PDT),Auction
512413805,ckzy.com,0,16,?7 491,?224 428,,2023/09/25 11:43 AM (PDT),Auction
513418202,gunfish.com,9,14,?7 417,?119 041,17,2023/09/25 01:26 PM (PDT),Auction
513431561,indygojunction.com,886,24,?7 380,?27 491,23,2023/09/25 01:07 PM (PDT),Auction
513345408,digitalpublications.com,0,12,?7 232,?229 004,,2023/09/28 10:26 AM (PDT),Auction
514926100,blackpower.org,11,11,?7 232,?143 542,20,2023/09/29 11:29 AM (PDT),Auction
514940738,wirelessjobs.com,7,31,?7 196,?322 288,26,2023/09/28 10:22 AM (PDT),Auction
515781405,tezd.com,0,10,?7 159,?102 878,17,2023/10/04 02:24 PM (PDT),Auction
